"Product","Country","Ingredients","Price","Rev_score","Rev_count","Size","Brand"
"Physicians Formula Murumuru Butter Bronzer, Sunkissed Bronzer","ITALY","",15.99,4,1,1,"Physicians"
"No7 Perfect Light Pressed Powder, Medium","Thailand","Talc, Nylon 6/12, Dimethicone, Cetyl Dimethicone, Zinc Stearate, Dimethicone/Vinyl Dimethicone Crosspolymer, Panthenol, Tocopheryl Acetate, Aqua (Water), Sodium Hyaluronate, May Contain (+/-):, CI 77491 (Iron Oxides), CI 77492 (Iron Oxides), CI 77499 (Iron Oxides)",12.99,4,163,0.35,"No7"
"No7 Airbrush Away Tinted Skin Perfector, Light","","Cyclopentasiloxane, Dimethicone Crosspolymer, Talc, C12-15 Alkyl Benzoate, Cyclohexasiloxane, Cetyl Dimethicone, Tocopheryl Acetate, Paraffinum Liquidum, Methicone, Retinyl Palmitate, Triethoxycaprylylsilane, Tocopherol, [+/- (May Contain), Titanium Dioxide (CI 77891), Iron Oxides (CI 77492), Iron Oxides (CI 77491), Iron Oxides (CI 77499)",14.99,4.2,322,1.35,"No7"
"No7 Airbrush Away Radiance Boosting Primer","Germany","Aqua (Water), Dimethicone, Cyclopentasiloxane, Butylene Glycol, Cyclohexasiloxane, Dimethicone Crosspolymer, Hdi/Trimethylol Hexyllactone Cross Polymer, Mica, Phenyl Trimethicone, Glycerin, Magnesium Sulfate, Phenoxyethanol, PEG/PPG-18/18 Dimethicone, Cetyl PEG/PPG-10/1 Dimethicone, Polyglyceryl-4 Isostearate, Hexyl Laurate, Triethoxycaprylylsilane, Methylparaben, Tocopheryl Acetate, Ethylparaben, Silica, Tetrasodium EDTA, Citric Acid, CI 77891 (Titanium Dioxide)",19.99,4.5,142,1.01,"No7"
"CYO Cream Shadow & Blush All Eyes & Cheeks, Only Words","","Caprylic/capric triglyceride, Aluminum starch octenylsuccinate, Talc, C12-15 alkyl benzoate, Cetearyl ethylhexanoate, Polyethylene, Hydrogenated castor oil, Isododecane, Silica dimethyl silylate, Phenoxyethanol, Isopropyl myristate, Disteardimonium hectorite, Propylene carbonate, Alumina, (May contain) CI 77891 (Titanium dioxide), CI 16035 (Red 40 lake), CI 75470 (Carmine), CI 19140 (Yellow 5 lake), CI 77007 (Ultramarines)",5,5,4,0.15,"CYO"
"Wet n Wild MegaGlo Highlighting Powders Small Blossom Glow","CHINA","",5.29,4.6,9,1,"Wet n Wild"
"No7 Lift & Luminate Triple Action Serum Foundation, Calico","France.
100% Satisfaction guaranteed with all Walgreens products or your money back.","Aqua (Water), Caprylyl methicone, Cyclopentasiloxane, Glycerin, Dimethicone, Nylon 6/12, Mica, Butylene glycol, Trimethylsiloxysilicate, PEG-9 dimethicone, Disteardimonium hectorite, Cyclohexasiloxane, Magnesium sulfate, Phenoxyethanol, Dimethicone crosspolymer, Alcohol denat., Propylene carbonate, Silica, Methylparaben, Propylene glycol, Bis-isobutyl PEG/PPG-10/7 dimethicone copolymer, Triethoxycaprylylsilane, PEG/PPG dimethylallylether, Tocopheryl acetate, Pentylene glycol, Ascorbyl glucoside, Hibiscus abelmoschus extract, Ethylparaben, Retinyl palmitate, Tetrasodium EDTA, Sorbitan laurate, Panax ginseng root extract, Carbomer, Potassium hydroxide, Dimethylmethoxy chromanol, Xanthan gum, Polysorbate 20, Tocopherol, Hydroxyethylcellulose, Acetyl dipeptide-1 cetyl ester, Morus alba leaf extract, BHT, Palmitoyl tripeptide-1, Palmitoyl tetrapeptide-7, [+/- (May contain) CI 77891 (Titanium dioxide), CI 77492 (Iron oxides), CI 77491 (Iron oxides), CI 77499 (Iron oxides)",15.99,3.8,12,1.01,"No7"
"Physicians Formula Physicians Strength Concealer, Natural Light 2724","USA from domestic and foreign parts","Water, Cyclopentasiloxane, Ethylhexyl Palmitate, Trimethylsiloxysilicate, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Polyglyceryl-3 Diisostearate, Butylene Glycol, Cetyl PEG/PPG-10/1 Dimethicone, Disteardimonium Hectorite, Cetyl Dimethicone, Sodium Chloride, Ascorbyl Palmitate, Copernicia Cerifera (Carnauba), Wax, Dimethicone, Laureth-12, Magnesium Sulfate, Microcrystalline Wax, Panthenol, PEG-30 Dipolyhydroxystearate, Polysilicone-11, Propylene Carbonate, Retinyl Palmitate, Silica, Sorbitan Sesquioleate, Tocopheryl Acetate, Trideceth-9 Pg-Amodimethicone, Trideceth-12, Diazolidinyl Urea, Methylparaben, Isopropylparaben, Isobutylparaben, Butylparaben, May Contain: Titanium Dioxide, Talc, Ultramarines, Chromium Hydroxide Green",NA,4.5,26,0.49,"Physicians"
"Wet n Wild MegaGlo Contouring Palette, Dulce de Leche","China","Talc, Nylon-12, Boron Nitride, Aluminum Starch Octenylsuccinate, Ethyl Macadamiate, Dimethicone, Magnesium Myristate, Synthetic Fluorphlogopite, Phenoxyethanol, Trimethylsiloxysilicate, Lauroyl Lysine, Caprylyl Glycol, Polybutene, Hexylene Glycol, Ethylhexylglycerin, Tocopherol, O-Cymen-5-Ol, Methicone (In Shade 749A), [+/- (May Contain/Peut Contenir): Mica, Iron Oxides/Ci 77491, Ci 77492, Ci 77499, Titanium Dioxide/Ci 77891, Red 40 Lake/Ci 16035, Yellow 5 Lake/Ci 19140, Ultramarines/Ci 77007]",5.29,3.6,15,0.44,"Wet n Wild"
"Vichy Dermafinish Loose White Translucent Setting Powder","","Talc, F.I.L. B40519/2",21,4.4,80,1,"Vichy"
"CYO FIXING SPRAY SET TO LAST","United Kingdom","Aqua (Water), Alcohol denat, Butylene glycol, VP/VA copolymer, Glycerin, Laurtrimonium chloride",5,3.4,17,1.69,"CYO"
"No7 Radiant Glow Concealer, 60","Japan","Aqua (Water), Cyclopentasiloxane, Talc, Glycerin, Paraffinum Liquidum (Mineral Oil), PEG/PPG-20/20 Dimethicone, Magnesium Sulfate, Hydrogen Dimethicone, Methicone, Aluminum Hydroxide, C12-14 Pareth-3, Methylparaben, Phenoxyethanol, Squalane, [+/- (May Contain) Mica, CI 77891 (Titanium Dioxide), CI 77492 (Iron Oxides), CI 77491 (Iron Oxides), CI 77499 (Iron Oxides)]",13.99,3.9,28,0.08,"No7"
"CYO Highlighting Concealer Brush With Brilliance, MEDIUM","Germany","Aqua (Water), Cyclopentasiloxane, Isohexadecane, Cera alba (Beeswax), Cetyl PEG/PPG-10/1 dimethicone, Isododecane, Sodium chloride, Dimethicone crosspolymer, Sodium potassium aluminum silicate, Phenoxyethanol, Tocopheryl acetate, Polyglyceryl-3 diisostearate, Mica, Aluminum hydroxide, Triethoxycaprylylsilane, Silica, Methylparaben, Ethylparaben, Tin oxide, Hydrogenated lecithin, (May contain) CI 77891 (Titanium dioxide), CI 77492 (Iron oxides), CI 77491 (Iron oxides), CI 77499 (Iron oxides)",6,4.1,8,0.08,"CYO"
"Rimmel Match Perfection Concealer, Light","England","Aqua/Water, Glycerin, Myristic Acid, Potassium Hydroxide, Glyceryl Stearate Se, Stearic Acid, Lauric Acid, Palmitic Acid, Coco-Glucoside, Tetrasodium EDTA, Salicylic Acid, Parfum/Fragrance",6.29,4.3,39,0.23,"Rimmel"
"Maybelline Fit Me Matte + Poreless Liquid Foundation, Classic Ivory","","Aqua (Water), Cyclohexasiloxane, Nylon-12, Isododecane, Alcohol Denat., Cyclopentasiloxane, PEG-10 Dimethicone, Cetyl PEG, PPG-10, 1 Dimethicone, PEG-20, Polyglyceryl-4 Isostearate, Disteardimonium Hectorite, Phenoxyethanol, Magnesium Sulfate, Disodium Stearoyl Glutamate, HDI Trimethylol Hexyllactone Crosspolymer, HDI, Titanium Dioxide, Methylparaben, Acrylates Copolymer, Tocopherol, Butylparaben, Aluminum Hydroxide, Alumina, Silica, Glycerin, +, - May Contain: CI 77891, CI 77491, CI 77492, CI 77499 (Iron Oxides)",7.99,4.3,2047,1,"Maybelline"
"Wet n Wild Photo Focus Dewy Face Primer, Till Prime Dew Us Part","CHINA","Water (Eau), Glycerin, Ethylhexyl Palmitate, Synthetic Fluorphlogopite, PPG-26-Buteth-26, Panthenol, Propanediol, Caprylic/Capric Triglyceride, PEG-40 Hydrogenated Castor Oil, Carbomer, Ethylhexylglycerin, Tocopheryl Acetate, Chlorphenesin, Caprylhydroxamic Acid, Sodium Hydroxide, Disodium EDTA, Dipotassium Glycyrrhizate, Alumina, Tin Oxide, Silica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77499)",5.29,4.5,13,1,"Wet n Wild"
"Wet n Wild Photo Focus Eyeshadow Primer, Only A Matter of Prime","China","Isododecane, Talc, Cyclopentasiloxane, Trimethylsiloxysilicate, Disteardimonium Hectorite, Polyethylene, Vp/Eicosene Copolymer, Boron Nitride, Aluminum Starch Octenylsuccinate, Propylene Carbonate, Sorbitan Sesquioleate, Synthetic Beeswax, Pentaerythrityl Tetraisostearate, Methicone, Phenoxyethanol, Acrylates Copolymer, Magnesium Carbonate, Dimethicone Crosspolymer, Bisabolol, Sorbic Acid, Octyldodecyl Stearoyl Stearate, Caprylic/Capric Triglyceride, Dimethicone/Vinyl Dimethicone Crosspolymer, Crithmum Maritimum Extract, Dimethiconol, Nelumbo Nucifera Stamen Extract, Bismuth Oxychloride/Ci 77163, Iron Oxides/Ci 77491, Ci 77492, Ci 77499, Titanium Dioxide/Ci 77891",5.29,4.1,16,0.34,"Wet n Wild"
"Wet n Wild Photo Focus Concealer Wand, Cocoa","China","Water/Eau, Cyclopentasiloxane, Glycerin, Propylene Glycol, Hydrogenated Polyisobutene, Polymethyl Methacrylate, Dimethicone, Cetyl Peg/Ppg-10/1 Dimethicone, Polyglyceryl-4 Isostearate, Hexyl Laurate, Sorbitan Sesquioleate, Dimethicone Crosspolymer, Silica, Peg-10 Dimethicone, Disteardimonium Hectorite, Dicaprylyl Carbonate, Phenoxyethanol, Isostearic Acid, Ethylene/Propylene/Styrene Copolymer, Caprylyl Glycol, Dimethicone/Vinyl Dimethicone Crosspolymer, Propylene Carbonate, Hexylene Glycol, Ethylhexylglycerin, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Sodium Dehydroacetate, Alumina, Triethoxycaprylylsilane, Tocopheryl Acetate, Propanediol, Dimethiconol, Butylene/Ethylene/Styrene Copolymer, Caprylhydroxamic Acid, Chamomilla Recutita (Matricaria), Flower Extract, Sodium Benzoate, Potassium Sorbate, [+/- May Contain, Titanium Dioxide/Ci 77891, Mica, Iron Oxides/Ci 77491, Ci 77492, Ci 77499, Ultramarines/Ci 77007]",4.49,4.2,10,0.24,"Wet n Wild"
"CYO Powder Blush Crush On Blush, Just Sayin'","","Talc, Mica, Paraffinum liquidum (Mineral oil), Magnesium stearate, Alumina, Dimethicone, Sodium benzoate, Sodium dehydroacetate, Phenoxyethanol, Aqua (Water), CI 77742 (Manganese violet), CI 77491 (Iron oxides), CI 15850 (Red 7 lake), CI 77499 (Iron oxides)",3,5,4,0.17,"CYO"
"No7 Stay Perfect Foundation SPF 15, Calico","France","",15.99,4.3,24,1,"No7"
"Wet n Wild MegaGlo Highlighting Powders, Golden Flower Crown","CHINA","",5.29,4.8,6,1,"Wet n Wild"
"Wet n Wild MegaLast Primer Water In Love With Coco","","oTalc, Synthetic Fluorphlogopite, Boron Nitride, Dimethicone, Silica, Ethyl Macadamiate, Magnesium Myristate, Microcrystalline Cellulose, Trimethylsiloxysilicate, Octyldodecyl Stearoyl Stearate, Lauroyl Lysine, Phenoxyethanol, Polysorbate 20, Phytosteryl Macadamiate, Caprylyl Glycol, Polybutene, Caprylic/Capric Triglyceride, Ethylhexylglycerin, Hexylene Glycol, Sorbitan Stearate, o-Cymen-5-ol, Magnesium Aluminum Silicate, Water/Eau, Tin Oxide, Triethoxycaprylylsilane, Polyacrylamide, Tocopheryl Acetate, C13-14 Isoparaffin, Aluminum Hydroxide, Laureth-7, Tocopherol, [+/- (MAY CONTAIN/PEUT CONTENIR): Black 2/CI 77266, Iron Oxides/CI 77491, CI 77492, CI 77499, Mica, Red 40 Lake/CI 16035, Titanium Dioxide/CI 77891].",5.29,4.5,57,1,"Wet n Wild"
"NYX Professional Makeup Long Lasting Makeup Setting Spray Dewy Finish","China","Water/Aqua/Eau, Alcohol, Propylene Glycol, PVP, Disodium EDTA, Niacinamide, Phenoxyethanol",NA,4.5,645,2.03,"NYX"
"CYO Bronzing Shimmer Oil Gift Of Gold","","Aqua (Water), Butylene glycol, Glycerin, Sodium stearate, PEG-12 Dimethicone, Mica, Poloxamer 407, Parfum (Fragrance), Dipropylene glycol, PPG-12/SMDI copolymer, Benzyl benzoate, Cocos nucifera fruit extract, (May contain) CI 77491 (Iron oxides), CI 77891 (Titanium dioxide), CI 17200 (Red 33), CI 19140 (Yellow 5), CI 42090 (Blue 1), CI 77163 (Bismuth oxychloride), CI 77492 (Iron oxides), CI 77499 (Iron oxides)",7,4.2,10,1,"CYO"
"Wet n Wild Photo Focus Matte Setting Spray Matte Appeal","CHINA","",5.29,4.6,16,2,"Wet n Wild"
"Milani Make It Last Set Super Primer/Corrector Set","USA","Water (Aqua), Alcohol Denat, Niacinamide, Pvp, Pentylene Glycol, Glycerin, Phenoxyethanol, Poloxamer 407, Peg-60 Hydrogenated Castor Oil, Pseudoalteromonas Ferment Extract, Fragrance (Parfum), Benzyl Salicylate, Butylphenyl Methylpropional, Limonene, Citrullus Lanatus (Watermelon), Fruit Extract, Sodium Benzoate, Citrulline, Caprylyl Glycol, Potassium Sorbate",NA,4.8,96,2.03,"Milani"
