"Product","Country","Ingredients","Price","Rev_score","Rev_count","Size","Brand"
"theBalm Stainiac Beauty Queen Lip Cheek Stain","USA","Water (Aqua, Eau), Glycerin, Triethanolamine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aloe Barbadensis Leaf Juice, Propylene Glycol, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Sodium Hyaluronate, Potassium Sorbate, Sodium Dehydroacetate, Camellia Oleifera Leaf Extract, Red 33 (CI 17200)",17,NA,20,0.3,"theBalm"
"IMAN Second to None Cover Cream, Earth Medium","Contents America","Phenyl Trimethicone, Diisosteraryl Malae, Isononyl Isononanoate, Silica, Octyldodecanol, Talc, Aluminum Starch Octenylsuccinate, Ppg-3 Benzyl Ether Myristate, Polyethylene, Euphorbia Cerifera (Candelilla) Wax, Methyl Methacrylate Crosspolymer, Cetyl Alcohol, Cetyl Palmitate, Microcrystalline Wax, Camellia Sinensis Leaf Extract, Glycine Soja(Soybean) Oil, Carthamus Tinctorius (Safflower) Seed Oil, Triticum Vulgare(Wheat) Germ Oil, Prunus Armeniaca(Apricot) Kernel Oil, Phenoxyethanol, Caprylyl Glycol, Tocopheryl Acetate, Saccharomyces/Zinc Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Manganese Ferment, Saccharomyces/Iron Ferment, Saccharomyces/Silicon Ferment, May Contain:Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499)",14.49,4.8,8,0.1,"IMAN"
"Neutrogena Mineral Sheers Powder Foundation, Tan","","Mica, Octyldodecyl Stearoyl Stearate, Zinc Stearate, Dimethicone, Silica, Magnesium Myristate, Oryza Sativa (Rice) Starch, Methicone, Polymethyl Methacrylate, Methylparaben, Sodium Dehydroacetate, Alumina, Silk Powder, Nylon-12, Propylparaben, Panthenol, Glycine Soja (Soybean) Seed Extract, Tocopheryl Acetate, Pantothenic Acid, Retinyl, Palmitate, Ascorbic Acid May Contain: Titanium Dioxide, Iron Oxides, Carmine",13.99,4.3,139,1,"Neutrogena"
"e.l.f. Studio High Definition Powder, Shimmer","China","Aluminum Starch Octenylsuccinate, Dimethicone/Vinyl Dimethicone Crosspolymer, Silica, Talc, Phenoxyethanol, Caprylyl Glycol, Dimethicone May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 7 Lake (CI 15850), Ultramarines (CI 77007), Yellow 5 Lake (CI 19140), Blue 1 Lake (CI 42090), Red 6 Lake (CI 15850)",NA,4.2,1642,0.28,"e.l.f."
"Almay Smart Shade Powder Bronzer Sunkissed","USA","Talc, Mica, Zea Mays Starch, Dimethicone, Octyldodecyl Stearoyl Stearate, Zinc Stearate, Pentaerythrityl Tetraisostearate, Hexylene Glycol, Caprylyl Glycol, Phenoxyethanol, May Contain (+/-): Mica, Titanium Dioxide, Iron Oxides, Carmine, Ultramarines, Tin Oxide, Red 30 Lake",12.49,NA,1642,0.24,"Almay"
"IsaDora Active All Day Wear Make-Up, 14 Sand","SWITZERLAND.","Aqua/Water, Dimethicone, Polymethyl Methacrylate, Polymethylsilsesquioxane, Methyl Trimethicone, PEG-10 Dimethicone, Glycerin, Butylene Glycol, Acrylates/Dimethicone Copolymer, Sodium Potassium Aluminum Silicate, PEG/PPG-18/18 Dimethicone, Sodium Chloride, Trimethylsiloxysilicate, Caprylyl Dimethicone Ethoxy Glucoside, Disteardimonium Hectorite, Triethyl Citrate, Dimethicone Crosspolymer, Silica, Aluminum Hydroxide, Triethoxycaprylylsilane, Tocopheryl Acetate, Disodium EDTA, Bacillus/Soybean Ferment Extract, Phenoxyethanol, Sodium Dehydroacetate, Potassium Sorbate, [+/- CI77491/Iron Oxides, CI77492/Iron Oxides, CI77499/Iron Oxides, CI77891/Titanium Dioxide].",22,4.4,52,1.2,"IsaDora"
"Almay Long Lasting Brow Color, 030 Black Brown","United States","Aqua (Water/Eau), Polyvinyl Alcohol, Butylene Glycol, PEG-8, Alcohol Denat., Sucralose, Biotinoyl Tripeptide-1, Citric Acid, Glycerin, Panthenol, Polysorbate 20, PVP, Sodium Chloride, Trisodium EDTA, 1,2-Hexanediol, Caprylyl Glycol, Phenoxyethanol, Blue 1 (CI 42090), Red 40 (CI 16035), Yellow 5 (CI 19140)",NA,2.3,3,0.24,"Almay"
"Black Radiance True Complexion Soft Focus Finishing Powder, Milk Chocolate","China","Talc, Polymethyl Methacrylate, Nylon-12, Zinc Stearate, Boron Nitride, Octyldodecyl Stearoyl Stearate, Isostearyl Neopentanoate, Caprylyl Glycol, Alumina, Caprylhydroxamic Acid, Glycerin, Methicone, Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499)",NA,5,1,0.46,"Black"
"Neutrogena Prep + Correct Primer For Redness","Korea, Republic Of","WATER, METHYL TRIMETHICONE, DIMETHICONE, DICAPRYLYL CARBONATE, BUTYLENE GLYCOL, GLYCERIN, PEG-10 DIMETHICONE, PENTYLENE GLYCOL, POLYMETHYLSILSESQUIOXANE, DIISOSTEARYL MALATE, DISTEARDIMONIUM HECTORITE, LAURYL PEG-9 POLYDIMETHYLSILOXYETHYL DIMETHICONE, DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER, METHYL METHACRYLATE CROSSPOLYMER, DIMETHICONE CROSSPOLYMER, MAGNESIUM SULFATE, TRIBEHENIN, PHENOXYETHANOL, CAPRYLYL METHICONE, GLYCERYL TRIBEHENATE/ISOSTEARATE/EICOSANDIOATE, ISODODECANE, TRIETHOXYCAPRYLYLSILANE, ETHYLHEXYLGLYCERIN, DISODIUM EDTA, CHONDRUS CRISPUS EXTRACT, CITRIC ACID, TITANIUM DIOXIDE, MAY CONTAIN: CHROMIUM OXIDE GREENS, ULTRAMARINES, IRON OXIDES",14.99,4.5,104,1.05,"Neutrogena"
"Neutrogena Prep + Correct Primer For Even Tone","Korea, Republic Of","WATER, METHYL TRIMETHICONE, DIMETHICONE, DICAPRYLYL CARBONATE, BUTYLENE GLYCOL, GLYCERIN, PEG-10 DIMETHICONE, PENTYLENE GLYCOL, POLYMETHYLSILSESQUIOXANE, DIISOSTEARYL MALATE, DISTEARDIMONIUM HECTORITE, LAURYL PEG-9 POLYDIMETHYLSILOXYETHYL DIMETHICONE, DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER, METHYL METHACRYLATE CROSSPOLYMER, DIMETHICONE CROSSPOLYMER, MAGNESIUM SULFATE, TRIBEHENIN, PHENOXYETHANOL, CAPRYLYL METHICONE, GLYCERYL TRIBEHENATE/ISOSTEARATE/EICOSANDIOATE, ISODODECANE, TRIETHOXYCAPRYLYLSILANE, ETHYLHEXYLGLYCERIN, DISODIUM EDTA, CHONDRUS CRISPUS EXTRACT, CITRIC ACID, TITANIUM DIOXIDE, MAY CONTAIN: CHROMIUM OXIDE GREENS, IRON OXIDES, ULTRAMARINES",14.99,4.5,104,1.05,"Neutrogena"
"Milani Baked Bronzer, Glow 04","Italy","Talc, Mica (CI 77019), Dimethicone, Octyldodecyl Stearoyl Stearate, Polysorbate 20, Magnesium Aluminum Silicate, Phenoxyethanol, Sodium Dehydroacetate, Tocopheryl Acetate, Cetearyl Ethylhexanoate, Ethylhexyl Methoxycinnamate, Simmondsia Chinensis (Jojoba) Seed Oil, Acrylamide/Sodium Acryloyldimethyl, Taurate Copolymer, Isohexadecane, Polysorbate 80, Sorbitan Stearate, Zea Mays (Corn), Starch, +/- May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Ultramarines (CI 77007), Chromium Oxide Greens (CI 77288), Chromium Hydroxide Green (CI 77289), Ferric Ferrocyanide (CI 77510), Yellow 5 Lake (CI 19140), Manganese Violet (CI 77742), Red 6 (CI 15850), Red 7 (CI 15850)",NA,4.6,32,0.25,"Milani"
"Sleek MakeUP Lifeproof Foundation LP05","China","",10.99,5,1,1,"Sleek"
"Revlon ColorStay Concealer, Fair","USA","Aqua ((Water) Eau), Dimethicone, Trimethylsiloxysilicate, Glycerin, Phenyl Trimethicone, Trisiloxane, PEG/PPG-18/18 Dimethicone, Boron Nitride, Bis-PEG/PPG-14/14 Dimethicone, Butylene Glycol, Sodium Chloride, Tribehenin, Ethylhexyl Palmitate, Salicylic Acid, Tocopheryl Acetate, Aloe Barbadensis Leaf Juice, Cymbidium Grandiflorum Flower Extract, Lactobacillus/Eriodictyon Californicum Ferment Extract, Lilium Candidum Bulb Extract, Malva Sylvestris (Mallow) Extract, Sodium Hyaluronate, Serica ((Silk) Soie), Alumina, Polymethyl Methacrylate, Isododecane, Methicone, Triethoxycaprylylsilane, Dimethiconol, Dimethicone/Silsesquioxane Copolymer, Sorbitan Sesquioleate, Silica, Cyclodextrin, Silica Dimethyl Silylate, Hexylene Glycol, Tetrasodium EDTA, Phenoxyethanol, Caprylyl Glycol, 1,2-Hexanediol. May Contain/Peut Contenir/Puede Contenir, [+/-: Mica, Titanium Dioxide (Cl 77891), Iron Oxides (Cl 77491, 77492, 77499), Zinc Oxide (Cl 77947)]",11.99,3.3,41,0.21,"Revlon"
"Wet n Wild Highlighter/Concealer Pen, Posing Nude","CHINA","Water, Propylene Glycol, Phenyl Trimethicone, Cyclopentasiloxane, Butylene Glycol, Isododecane, Talc, Cetyl PEG/PPG-10/1 Dimethicone, Lauryl PEG/PPG-18/18 Methicone, Polyglyceryl-4, Isostearate, Hexyl Laurate, Lecithin, Phenoxyethanol, Polysilicone-11, Methicone, Disteardimonium Hectorite, Magnesium Aluminum Silicate, Caprylyl Glycol, Sodium Dehydroacetate, Propylene Glycol Stearate, Hexylene Glycol, Ethylhexylglycerin, Xanthan Gum, Tocopheryl Acetate, Propylene Glycol Laurate, Polysorbate 20, Sorbitan Laurate, Glycerin, Chlorphenesin, Chamomilla Recutita (Matricaria) Flower Extract, Titanium Dioxide/CI 77891, Iron Oxides/CI 77491, CI 77492, CI 77499.",4.99,5,1,0.5,"Wet n Wild"
"Physicians Formula Softlight Mattifying Primer","United States","WATER/EAU, ISODODECANE, CYCLOPENTASILOXANE, GLYCERIN, POLYMETHYLSILSESQUIOXANE, PENTAERYTHRITYL TETRAISOSTEARATE, CETYL PEG/PPG-10/1 DIMETHICONE, POLYSILICONE-11, SILICA, STEARIC ACID, BUTYLENE GLYCOL, TRIBEHENIN, KAOLIN, SODIUM MYRISTOYL GLUTAMATE, PENTYLENE GLYCOL, PHENOXYETHANOL, SORBITAN SESQUIOLEATE, BHT, DISTEARDIMONIUM HECTORITE, MAGNESIUM SULFATE, SODIUM CHLORIDE, PROPYLENE CARBONATE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, BRASSICA CAMPESTRIS/ALEURITES FORDI OIL COPOLYMER, TOCOPHEROL ACETATE, SYNTHETIC FLUORPHLOGOPITE, RETINYL PALMITATE, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, TIN OXIDE, TOCOPHEROL, MICA, RED 6 (CI 15850), TITANIUM DIOXIDE (CI 77891), YELLOW 5 LAKE (CI 19140)",NA,2.7,3,1,"Physicians"
"Revlon Stick SPF 20, Medium","the USA","Octinoxate (7.5%, Ethylhexyl Methoxycinnamate), Titanium Dioxide (7.5%), Zinc Oxide (2.45%)",10.79,4.3,336,0.11,"Revlon"
"L'Oreal Paris True Match Super-Blendable Powder, Porcelain W1","USA","Talc, Zea Mays/Corn Starch, Dimethicone, Zinc Stearate, Pentaerythrityl Tetraisostearate, Octyldodecyl Stearoyl Stearate, Zeolite, Sorbic Acid, Methylparaben, Propylparaben, Tocopheryl Acetate, Tetrasodium EDTA, Butylparaben, BHT, Panthenol, [+/- May Contain: CI 77491, CI 77492, CI 77499/Iron Oxides, CI 77891/Titanium Dioxide, Mica, CI 77007/Ultramarines, CI 15850/Red 7 Lake]",10.79,4.3,167,0.33,"L'Oreal"
"Rimmel Insta Contour Duo Stick, Light","China","TRIDECYL TRIMELLITATE, ISONONYL ISONONANOATE, DIISOSTEARYL MALATE, POLYETHYLENE, OCTYLDODECANOL, ALUMINUM STARCH OCTENYLSUCCINATE, MICROCRISTALLINA CERA/MICROCRYSTALLINE WAX/CIRE MICROCRYSTALLINE, DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER, COPERNICIA CERIFERA CERA/COPERNICIA CERIFERA (CARNAUBA) WAX/CIRE DE CARNAUBA, SYNTHETIC FLUORPHLOGOPITE, LECITHIN, POLYHYDROXYSTEARIC ACID, ISOPROPYL MYRISTATE, PHENOXYETHANOL, ISOSTEARIC ACID, POLYGLYCERYL-3 POLYRICINOLEATE, TOCOPHERYL ACETATE, SILICA, ISOCETETH-10, May Contain: MICA, TITANIUM DIOXIDE (CI 77891), IRON OXIDES (CI 77491, CI 77492, CI 77499)",6.99,4.8,4,0.28,"Rimmel"
"Revlon PhotoReady Insta-Filter Foundation 1, 220 Natural Beige","","",17.99,3.9,74,1,"Revlon"
"Physicians Formula Argan Wear 2-in-1 Argan Oil & Coconut Water Primer","United States","",NA,4,4,1,"Physicians"
"Almay Instant Glow Highlighting Duo, 100 Soft Glow","USA","",11.99,5,1,0.23,"Almay"
"Revlon Youth FX Fill + Blur Concealer, 01 Fair","USA","Aqua, Water, Eau, Cyclopentasiloxane, Dimethicone, Isododecane, Glycerin, PEG-9 Polydimethylsiloxyethyl Dimethicone, Dimethicone Crosspolymer, Cetyl PEG/PPG 10/1 Dimethicone, Disteardimonium Hectorite, Nylon-12, PEG-10 Dimethicone, Ethylhexyl Palmitate, Butylene Glycol, Sodium Chloride, Niacinamide, Sodium Ascorbyl Phosphate, Steareth-20, Chrysin, N-Hydroxysuccinimide, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Silica Dimethyl Silylate, Sodium Hyaluronate, Sodium Carrageenan, Maris Sal, Sea Salt, Sel Marin, Saccharide Isomerate, Polyglyceryl-4 Isostearate, Sorbitan Sesquioleate, Xanthan Gum, Triethoxycaprylylsilane, Methicone, Tetrasodium EDTA, Tocopheryl Acetate, Hexylene Glycol, Phenoxyethanol, Methylparaben, Ethylparaben, Caprylyl Glycol, May Contain, [+/-: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, 77492, 77499)]",13.79,4.5,429,0.11,"Revlon"
"theBalm Hot Mama Blush Powder Shimmer","USA","Mica, Boron Nitride, Polyethylene, Isoeicosane, Caprylic/Capric Triglyceride, Silica, Polyisobutene, PTFE, Synthetic Wax, Dimethicone, Sodium Dehydroacetate, Titanium Dioxide (CI 77891), Carmine (CI 75470), Iron Oxide (CI 77491)",20,NA,429,0.25,"theBalm"
"Maybelline New York Master Blur Stick Primer Makeup, Medium Tan","United States","DIMETHICONE, CYCLOHEXASILOXANE, DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER, OZOKERITE, TRIMETHYLSILOXYSILICATE, C20-40 ALKYL STEARATE, SILICA, TITANIUM DIOXIDE, SILICA SILYLATE, PERLITE, LAURETH-4, CI 77891 / TITANIUM DIOXIDE, CI 77491 / IRON OXIDES, CI 77492 / IRON OXIDES, CI 77499 / IRON OXIDES",9.99,4.2,374,0.3,"Maybelline"
"e.l.f. Antioxidant Booster Drops","United States","Water (Aqua), Glycerin, Propylene Glycol, Erythritol, PPG-10 Methyl Glucose Ether, Niacinamide, 3-O-Ethyl Ascorbic Acid (Vc), Tocopheryl Acetate (Ve), Tremella Fuciformis Sporocarp (Snow Mushroom) Extract, Phenoxyethanol, PEG-32, PEG-180, Xanthan Gum, Coceth-7, PPG-1-PEG-9 Lauryl Glycol Ether, Ethylhexylglycerin, Caprylyl Glycol, Disodium EDTA, PEG-40 Hydrogenated Castor Oil",NA,4.6,41,0.51,"e.l.f."
"Revlon ColorStay Concealer 03 Light Medium, Light Medium","USA","Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, 77492, 77499), Zinc Oxide (CI 77947), Aqua (Water, Eau), Dimethicone, Trimethylsiloxysilicate, Glycerin, Phenyl Trimethicone, Trisiloxane, PEG/PPG-18/18 Dimethicone, Boron Nitride, Bis-PEG/PPG-14/14 Dimethicone, Butylene Glycol, Sodium Chloride, Tribehenin, Ethylhexyl Palmitate, Salicylic Acid, Tocopheryl Acetate, Aloe Barbadensis Leaf Juice, Cymbidium Grandiflorum Flower Extract, Lactobacillus/Eriodictyon Californicum Ferment Extract, Lilium Candidum Bulb Extract, Malva Sylvestris Extract (Mallow), Sodium Hyaluronate, Serica (Silk, Soie), Alumina, Polymethyl Methacrylate, Isododecane, Methicone, Triethoxycaprylylsilane, Dimethiconol, Dimethicone/Silsesquioxane Copolymer, Sorbitan Sesquioleate, Silica, Cyclodextrin, Silica Dimethyl Silylate, Hexylene Glycol, Tetrasodium EDTA, Phenoxyethanol, Caprylyl Glycol, 1,2-Hexanediol",11.99,3.7,24,0.21,"Revlon"
"Milani Make It Last Setting Powder, Translucent Medium to Deep","Italy","",NA,4.4,48,0.12,"Milani"
"Sleek MakeUP Cream Contour Kit Light","China","",15.99,5,1,0.42,"Sleek"
"Milani Prime Protect SPF 30 Face Primer","United States","",NA,4.6,10,1,"Milani"
"Wet n Wild Photo Focus H2O Fond-Mocha-377C Mocha","CHINA","Isododecane, Cyclopentasiloxane, Water/Eau, Glycerin, Cyclohexasiloxane, Butylene Glycol, Dimethicone, PEG-10 Dimethicone, Disteardimonium Hectorite, Adipic Acid/Neopentyl Glycol Crosspolymer, Caprylyl Glycol, Silica, Sodium Chloride, Sorbitan Sesquioleate, Lecithin, Polyglyceryl-4 Isostearate, Cetyl PEG/PPG-10/1 Dimethicone, Hexyl Laurate, Polysilicone-11, Isopropyl Titanium Triisostearate, Laureth-12, Phenoxyethanol, Ethylhexylglycerin, (MAY CONTAIN/PEUT CONTENIR): Titanium Dioxide/CI 77891, Mica, Iron Oxides/CI 77491, CI 77492, CI 77499]",6.49,NA,10,1,"Wet n Wild"
"L'Oreal Paris Visible Lift Luminous Serum Tint, 804 Honey","","Aqua (Water), Oryza Sativa Bran Oil (Rice Bran Oil), Glycerin, Dimethicone, Propanediol, Butyrospermum Parkii Butter (Shea Butter), Stearic Acid, Palmitic Acid, PEG-100 Stearate, Glyceryl Stearate, PEG-20 Stearate, Stearyl Alcohol, Cera Alba (Beeswax), Ethylhexyl Hydroxystearate, Alumina, Phenoxyethanol, Tocopheryl Acetate, Talc, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Hydroxypropyl Tetrahydropyrantriol, Caprylyl Glycol, Propylene Glycol, Dimethiconol, Isohexadecane, Parfum (Fragrance), Myristic Acid, Pentylene Glycol, Polysorbate 80, Hydrolyzed Soy Protein, Sodium Hyaluronate, Disodium EDTA, Adenosine, Hydrolyzed Linseed Extract, Sorbitan Oleate, Synthetic Fluorphlogopite, Linalool, Cinnamic Acid, Phloroglucinol Trimethyl Ether, Limonene, Saccharomyces/Xylinum/Black Tea Ferment, Sodium Benzoate, Geraniol, Citronellol, Benzyl Alcohol, Eugenol, Coumarin, Acetyl Tetrapeptide-9, Hydroxyethylcellulose, Sodium Citrate, Citric Acid, Potassium Sorbate, Biotin, Cl 77163 (Bismuth Oxychloride), Cl 77891 (Titanium Dioxide), Cl 77491, Cl 77492, Cl 77499 (Iron Oxides), Mica",14.99,4.3,355,1,"L'Oreal"
"e.l.f. Studio Translucent Mattifying Powder, Translucent","China","Mica, Talc, Zinc Stearate, Titanium Dioxide, Silica Dimethyl Silylate, Nylon-12, Hydrogenated Polyisobutene, Synthetic Fluorphlogopite, Dimethicone, Sodium Dehydroacetate, May Contain: Iron Oxides (CI 77491, CI 77492)",3,4.1,495,0.13,"e.l.f."
"Physicians Formula Argan Wear Ultra-Nourishing Argan Oil BB Cream, Light/Medium","USA","Titanium Dioxide 5.76% (Sunscreen), Zinc Oxide 2.96% (Sunscreen)",NA,NA,495,1.2,"Physicians"
"NYX Professional Makeup Color Correcting Liquid Primer, Blue","China","Water (Aqua), Cyclopentasiloxane, Glycerin, Caprylyl Methicone, Dimethicone, Isododecane, Propylene Glycol, Vinyl Dimethicone, Methicone Silsesquioxane Crosspolymer, Cetyl PEG, 1 Dimethicone, Magnesium Sulfate, Phenyl Trimethicone, Silica Dimethyl Silylate, PEG-10 Dimethicone, Aluminum Starch Octenylsuccinate, Disteardimonium Hectorite, Dimethicone Copolymer, Bis-Isobutyl PEG, 7, PPG-10, Trimethylsiloxysilicate, Dimethiconol, Propylene Carbonate, Triethoxycaprylylsilane, Alumina, Pentaerythrityl Tetra-di-t-Butyl Hydroxyhydrocinnamate, Tocopherol, Ethylhexylglycerin, Phenoxyethanol, May Contain: Titanium Dioxide (Cl 77891), Iron Oxides (Cl 77491, 77492, 77499), Bismuth Oxychloride (Cl 77163), Chromium Oxide Greens (Cl 77288), Ultramarines (Cl 77007)",NA,NA,495,1.38,"NYX"
"CoverGirl TruBlend Loose Mineral Powder, Banana","United States","TALC, AVENA SATIVA (OAT) KERNEL FLOUR, ZINC STEARATE, CALCIUM SILICATE, PARAFFINUM LIQUIDUM/ MINERAL OIL/ HUILE MINERALE, ISOPROPYL MYRISTATE, GLYCERIN, METHYLPARABEN, SODIUM DEHYDROACETATE, PROPYLPARABEN, BHT, DIMETHICONE, METHICONE, TIN OXIDE, TOCOPHEROL, MICA, TITANIUM DIOXIDE (CI 77891), MAY CONTAIN/PEUT CONTENIR/+/-: IRON OXIDES (CI 77491, CI 77492, CI 77499)",10.99,NA,495,0.63,"CoverGirl"
"Neutrogena Hydro Boost Hydrating Makeup Stick, Classic Ivory","United States","DICAPRYLYL CARBONATE, POLYGLYCERYL-2 TRIISOSTEARATE, HYDROGENATED POLYISOBUTENE, POLYETHYLENE, PENTAERYTHRITYL TETRAISOSTEARATE, METHYL METHACRYLATE CROSSPOLYMER, POLYGLYCERYL-2 ISOPALMITATE/SEBACATE, BIS-DIGLYCERYL POLYACYLADIPATE-2, VP/HEXADECENE COPOLYMER, BARIUM SULFATE, PARAFFIN, CETYL PEG/PPG-10/1 DIMETHICONE, SORBITAN ISOSTEARATE, ALUMINUM STARCH OCTENYLSUCCINATE, POLYGLYCERYL-4 ISOSTEARATE, PHYTOSTERYL MACADAMIATE, SILICA, MICROCRYSTALLINE WAX, TRIETHOXYCAPRYLYLSILANE, CAPRYLYL GLYCOL, GLYCERYL CAPRYLATE, HYDROLYZED HYALURONIC ACID, MAGNESIUM MYRISTATE, TITANIUM DIOXIDE, MICA, IRON OXIDES",16.99,NA,495,0.29,"Neutrogena"
"CoverGirl Advanced Radiance SPF 10 Age-Defying SPF Sunscreen Makeup, Natural Beige 140","the USA of US and imported parts.","Titanium Dioxide (5%), Octinoxate (2%)",11.49,NA,495,1,"CoverGirl"
"IsaDora Nude Cushion Foundation, Nude Porcelain","","Aqua/Water, Dimethicone, Phenyl Trimethicone, Isododecane, Myristyl Trisiloxane, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Peg-10 Dimethicone, Talc, Trimethylsiloxysilicate, Cetyl Peg/Ppg-10/1 Dimethicone, Butylene Glycol, Glycerin, Disteardimonium Hectorite, Phenoxyethanol, Sodium Chloride, Alcohol, Caprylic/Capric Triglyceride, Potassium Sorbate, Tocopherol, Carthamus Tinctorius (Safflower) Seed Oil, Mica, Aloe Barbadensis Leaf Extract, Vitis Vinifera (Grape) Fruit Extract, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, May Contain +/- Ci77491/Iron Oxides, Ci77492/Iron Oxides, Ci77499/Iron Oxides, Ci77891/Titanium Dioxide",NA,NA,495,0.53,"IsaDora"
"L'Oreal Paris Magic Skin Beautifier BB Cream Anti-Fatigue Anti-Fatigue","","Water, Isododecane, Cyclopentasiloxane, Glycerin, Cyclohexasiloxane, PEG 10 Dimethicone, Methyl Methacrylate Crosspolymer, Butylene Glycol, Dimethicone, Isoeicosane, Disteardimonium Hectorite, Boron Nitride, Phenoxyethanol, Cetyl PEG/PPG 10/1 Dimethicone, Sodium Chloride, Polyglyceryl 4 Isostearate, Hexyl Laurate, Acrylates/Ammonium Methacrylate Copolymer, Isostearyl Neopentanoate, Caprylyl Glycol, Triethyl Citrate, Methylparaben, C9 15 Fluoroalcohol Phosphate, Aluminum Hydroxide, Tocopherol, Panthenol, Alumina, May Contain (+/-):, Titanium Dioxide, Iron Oxides, Red 28 Lake, Yellow 6 Lake, Yellow 5 Lake, Blue 1 Lake",9.99,NA,495,1,"L'Oreal"
"Rimmel Hide the Blemish Concealer, Medium Beige","England","",5.29,NA,495,0.15,"Rimmel"
"L'Oreal Paris True Match Super-Blendable Multi-Use Concealer Makeup, Light C3-4","United States","AQUA / WATER / EAU, CYCLOPENTASILOXANE, DIMETHICONE, ISODODECANE, GLYCERIN, PEG-9 POLYDIMETHYLSILOXYETHYL DIMETHICONE, BUTYLENE GLYCOL, DIMETHICONE CROSSPOLYMER, NYLON-12, DISTEARDIMONIUM HECTORITE, CYCLOHEXASILOXANE, PEG-10 DIMETHICONE, CETYL PEG/PPG-10/1 DIMETHICONE, PHENOXYETHANOL, SODIUM CHLORIDE, POLYGLYCERYL-4 ISOSTEARATE, CAPRYLYL GLYCOL, DISODIUM STEAROYL GLUTAMATE, ETHYLHEXYLGLYCERIN, METHYLPARABEN, CHLORPHENESIN, ETHYLPARABEN, ALUMINUM HYDROXIDE, STEARETH-20, CHLORHEXIDINE DIGLUCONATE, N-HYDROXYSUCCINIMIDE, POTASSIUM SORBATE, TOCOPHEROL, PALMITOYL OLIGOPEPTIDE, CHRYSIN, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, PALMITOYL TETRAPEPTIDE-7, CI 77891 / TITANIUM DIOXIDE, CI 77491, CI 77492, CI 77499 / IRON OXIDES",12.99,NA,495,0.05,"L'Oreal"
"IMAN Cosmetics Under Cover Agent Oil Control Primer","China","Water(Aqua), Cyclopentasiloxane, Butylene Glycol, Dimethicone/Divinyldimethicone/Silsesquioxane Crosspolymer, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Squalane, Polysorbate 60, Propylene Glycol, Arctium Majus Root Extract, Zinc Pca, Biotin, Glycerin, Poterium Officinale, Zingiber Officinale(Ginger) Root Extract, Cinnamomum Cassia, Vaccinium Myrtillus Extract, Saccharum Officinarum(Sugar Cane) Extract, Acer Saccharum(Sugar Maple) Extract, Citrus Aurantium Dulcis(Orange) Fruit Extract, Citrus Medica Limonum(Lemon) Peel Extract, Magnesium Aluminum Silicate, Caprylyl Glycol, Phenoxyethanol, Hexylene Glycol, Xanthan Gum, Disodium Edta, Aloe Barbadensis Leaf Juice, Chamomilla Recutita(Matricaria) Extract, Cucumis Sativus (Cucumber) Fruit Extract, Fragrance(Parfum), Glycyrrhiza Glabra (Licorice) Root Extract, Thujopsis Dolabrata Extract, Camellia Sinensis Leaf Extract, Citrus Grandis (Grapefruit) Fruit Extract, Magnolia Kobus Bark Extract, Ext Violet 2 (Ci 60730), Red 4 (Ci 14700), Yellow5 (Ci 19140)",17.99,NA,495,1,"IMAN"
